Thresholds,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,nan
3,100,100,100,76.9230769231,76.9230769231,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,69.2307692308,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,61.5384615385,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,53.8461538462,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,38.4615384615,
4,100,100,85.7142857143,85.7142857143,78.5714285714,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,71.4285714286,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,64.2857142857,57.1428571429,57.1428571429,57.1428571429,50,50,50,50,
5,100,100,100,100,90.4761904762,85.7142857143,85.7142857143,85.7142857143,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,80.9523809524,71.4285714286,71.4285714286,71.4285714286,71.4285714286,66.6666666667,57.1428571429,57.1428571429,57.1428571429,52.380952381,47.619047619,38.0952380952,33.3333333333,28.5714285714,28.5714285714,28.5714285714,28.5714285714,28.5714285714,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,23.8095238095,
6,100,100,98.0392156863,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,96.0784313725,94.1176470588,92.1568627451,92.1568627451,88.2352941176,88.2352941176,86.2745098039,84.3137254902,80.3921568627,78.431372549,78.431372549,78.431372549,78.431372549,78.431372549,74.5098039216,74.5098039216,74.5098039216,72.5490196078,62.7450980392,60.7843137255,58.8235294118,58.8235294118,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,56.862745098,
7,100,100,100,96.875,96.875,96.875,96.875,96.875,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,87.5,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,84.375,81.25,81.25,81.25,81.25,81.25,81.25,
8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,98.2456140351,94.7368421053,94.7368421053,94.7368421053,94.7368421053,94.7368421053,92.9824561404,92.9824561404,92.9824561404,91.2280701754,91.2280701754,87.7192982456,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,84.2105263158,
9,100,100,100,100,100,100,100,98.4375,98.4375,98.4375,98.4375,96.875,96.875,96.875,96.875,93.75,93.75,93.75,93.75,93.75,92.1875,92.1875,92.1875,90.625,90.625,90.625,90.625,90.625,90.625,90.625,90.625,89.0625,87.5,87.5,87.5,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,85.9375,
10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.5714285714,98.5714285714,98.5714285714,98.5714285714,98.5714285714,97.1428571429,97.1428571429,95.7142857143,95.7142857143,92.8571428571,91.4285714286,88.5714285714,85.7142857143,81.4285714286,81.4285714286,81.4285714286,78.5714285714,75.7142857143,74.2857142857,74.2857142857,72.8571428571,71.4285714286,70,70,68.5714285714,67.1428571429,67.1428571429,65.7142857143,65.7142857143,62.8571428571,62.8571428571,60,58.5714285714,58.5714285714,58.5714285714,58.5714285714,
11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,97.247706422,96.3302752294,96.3302752294,96.3302752294,96.3302752294,95.4128440367,93.5779816514,93.5779816514,93.5779816514,93.5779816514,92.6605504587,92.6605504587,91.7431192661,91.7431192661,91.7431192661,91.7431192661,91.7431192661,91.7431192661,89.9082568807,88.9908256881,88.0733944954,86.2385321101,84.4036697248,83.4862385321,81.6513761468,80.7339449541,80.7339449541,80.7339449541,80.7339449541,80.7339449541,80.7339449541,79.8165137615,78.8990825688,
12,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.5401459854,97.8102189781,97.8102189781,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,97.0802919708,96.3503649635,95.6204379562,94.8905109489,94.1605839416,94.1605839416,94.1605839416,94.1605839416,93.4306569343,92.700729927,92.700729927,92.700729927,91.9708029197,91.2408759124,89.7810218978,89.0510948905,87.5912408759,86.8613138686,86.8613138686,86.1313868613,85.401459854,85.401459854,83.9416058394,
13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.2125984252,98.4251968504,98.4251968504,97.6377952756,96.8503937008,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,96.062992126,95.2755905512,95.2755905512,95.2755905512,95.2755905512,94.4881889764,94.4881889764,92.125984252,90.5511811024,89.7637795276,88.188976378,86.6141732283,84.2519685039,83.4645669291,81.8897637795,81.1023622047,80.3149606299,80.3149606299,
14,100,100,100,100,100,100,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,99.0476190476,98.0952380952,98.0952380952,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,97.1428571429,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,96.1904761905,93.3333333333,93.3333333333,91.4285714286,90.4761904762,87.619047619,85.7142857143,81.9047619048,80,76.1904761905,76.1904761905,76.1904761905,75.2380952381,
15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,99.0196078431,98.0392156863,98.0392156863,98.0392156863,98.0392156863,96.0784313725,92.1568627451,90.1960784314,87.2549019608,84.3137254902,84.3137254902,81.3725490196,81.3725490196,78.431372549,74.5098039216,
16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,99.1803278689,98.3606557377,98.3606557377,98.3606557377,97.5409836066,97.5409836066,96.7213114754,95.9016393443,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,95.0819672131,94.262295082,94.262295082,91.8032786885,91.8032786885,
17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.0990990991,99.0990990991,99.0990990991,99.0990990991,99.0990990991,98.1981981982,98.1981981982,98.1981981982,98.1981981982,98.1981981982,97.2972972973,96.3963963964,96.3963963964,96.3963963964,96.3963963964,96.3963963964,95.4954954955,94.5945945946,94.5945945946,93.6936936937,93.6936936937,93.6936936937,93.6936936937,92.7927927928,92.7927927928,92.7927927928,92.7927927928,92.7927927928,91.8918918919,91.8918918919,90.0900900901,
